s_names,a_names,values
UserA,PV,0.0
UserA,National Grid import,574.0333225208419
UserA,National Grid export,1.5396260843529904e-06
UserA,Storing EE,0.0
UserA,Gas Boiler heating,0.0
UserA,HP heating winter,0.0
UserA,HP heating summer,0.0
UserA,HP cooling,0.0
UserA,AC cooling,0.0
UserA,Storing HW,0.0
UserA,Radiators heater,0.0
UserA,Floor heater,0.0
UserA,Induction stove cooking,0.0
UserA,Gas stove cooking,0.0
UserA,Natural Gas supply grid,508.3833179209476
UserB,PV,0.0
UserB,National Grid import,772.548308800181
UserB,National Grid export,1.6833681448875137e-07
UserB,Storing EE,0.0
UserB,Gas Boiler heating,0.0
UserB,HP heating winter,0.0
UserB,HP heating summer,0.0
UserB,HP cooling,0.0
UserB,AC cooling,0.0
UserB,Storing HW,0.0
UserB,Radiators heater,0.0
UserB,Floor heater,0.0
UserB,Induction stove cooking,0.0
UserB,Gas stove cooking,0.0
UserB,Natural Gas supply grid,959.5214720484406
UserC,PV,0.0
UserC,National Grid import,809.2736923538921
UserC,National Grid export,-4.828426590379425e-07
UserC,Storing EE,0.0
UserC,Gas Boiler heating,0.0
UserC,HP heating winter,0.0
UserC,HP heating summer,0.0
UserC,HP cooling,0.0
UserC,AC cooling,0.0
UserC,Storing HW,0.0
UserC,Radiators heater,0.0
UserC,Floor heater,0.0
UserC,Induction stove cooking,0.0
UserC,Gas stove cooking,0.0
UserC,Natural Gas supply grid,1446.3916876946487
UserD,PV,0.0
UserD,National Grid import,875.5572395355662
UserD,National Grid export,-1.3479144235091024e-09
UserD,Storing EE,0.0
UserD,Gas Boiler heating,0.0
UserD,HP heating winter,0.0
UserD,HP heating summer,0.0
UserD,HP cooling,0.0
UserD,AC cooling,0.0
UserD,Storing HW,0.0
UserD,Radiators heater,0.0
UserD,Floor heater,0.0
UserD,Induction stove cooking,0.0
UserD,Gas stove cooking,0.0
UserD,Natural Gas supply grid,1897.6576709998203
