s_names,th_names,n_names,values
UserA,h01_wi01,EE,-4.656612790223806e-10
UserA,h01_wi01,Hot water,0.0
UserA,h01_wi01,Heat,0.0
UserA,h01_wi01,Cooling,0.0
UserA,h01_wi01,Cooking,0.0
UserA,h01_wi01,Natural Gas,0.0
UserA,h02_wi01,EE,0.0
UserA,h02_wi01,Hot water,0.0
UserA,h02_wi01,Heat,0.0
UserA,h02_wi01,Cooling,0.0
UserA,h02_wi01,Cooking,0.0
UserA,h02_wi01,Natural Gas,0.0
UserA,h03_wi01,EE,0.0
UserA,h03_wi01,Hot water,0.0
UserA,h03_wi01,Heat,0.0
UserA,h03_wi01,Cooling,0.0
UserA,h03_wi01,Cooking,0.0
UserA,h03_wi01,Natural Gas,0.0
UserA,h04_wi01,EE,0.0
UserA,h04_wi01,Hot water,0.0
UserA,h04_wi01,Heat,0.0
UserA,h04_wi01,Cooling,0.0
UserA,h04_wi01,Cooking,0.0
UserA,h04_wi01,Natural Gas,0.0
UserA,h05_wi01,EE,0.0
UserA,h05_wi01,Hot water,0.0
UserA,h05_wi01,Heat,0.0
UserA,h05_wi01,Cooling,0.0
UserA,h05_wi01,Cooking,0.0
UserA,h05_wi01,Natural Gas,0.0
UserA,h06_wi01,EE,0.0
UserA,h06_wi01,Hot water,0.0
UserA,h06_wi01,Heat,0.0
UserA,h06_wi01,Cooling,0.0
UserA,h06_wi01,Cooking,0.0
UserA,h06_wi01,Natural Gas,0.0
UserA,h07_wi01,EE,0.0
UserA,h07_wi01,Hot water,0.0
UserA,h07_wi01,Heat,0.0
UserA,h07_wi01,Cooling,0.0
UserA,h07_wi01,Cooking,0.0
UserA,h07_wi01,Natural Gas,0.0
UserA,h08_wi01,EE,0.0
UserA,h08_wi01,Hot water,0.0
UserA,h08_wi01,Heat,0.0
UserA,h08_wi01,Cooling,0.0
UserA,h08_wi01,Cooking,0.0
UserA,h08_wi01,Natural Gas,0.0
UserA,h09_wi01,EE,0.0
UserA,h09_wi01,Hot water,0.0
UserA,h09_wi01,Heat,0.0
UserA,h09_wi01,Cooling,0.0
UserA,h09_wi01,Cooking,0.0
UserA,h09_wi01,Natural Gas,0.0
UserA,h10_wi01,EE,0.0
UserA,h10_wi01,Hot water,0.0
UserA,h10_wi01,Heat,0.0
UserA,h10_wi01,Cooling,0.0
UserA,h10_wi01,Cooking,0.0
UserA,h10_wi01,Natural Gas,0.0
UserA,h11_wi01,EE,0.0
UserA,h11_wi01,Hot water,0.0
UserA,h11_wi01,Heat,0.0
UserA,h11_wi01,Cooling,0.0
UserA,h11_wi01,Cooking,0.0
UserA,h11_wi01,Natural Gas,0.0
UserA,h12_wi01,EE,0.0
UserA,h12_wi01,Hot water,0.0
UserA,h12_wi01,Heat,0.0
UserA,h12_wi01,Cooling,0.0
UserA,h12_wi01,Cooking,0.0
UserA,h12_wi01,Natural Gas,0.0
UserA,h13_wi01,EE,0.0
UserA,h13_wi01,Hot water,0.0
UserA,h13_wi01,Heat,0.0
UserA,h13_wi01,Cooling,0.0
UserA,h13_wi01,Cooking,0.0
UserA,h13_wi01,Natural Gas,0.0
UserA,h14_wi01,EE,0.0
UserA,h14_wi01,Hot water,0.0
UserA,h14_wi01,Heat,0.0
UserA,h14_wi01,Cooling,0.0
UserA,h14_wi01,Cooking,0.0
UserA,h14_wi01,Natural Gas,0.0
UserA,h15_wi01,EE,0.0
UserA,h15_wi01,Hot water,0.0
UserA,h15_wi01,Heat,0.0
UserA,h15_wi01,Cooling,0.0
UserA,h15_wi01,Cooking,0.0
UserA,h15_wi01,Natural Gas,0.0
UserA,h16_wi01,EE,0.0
UserA,h16_wi01,Hot water,0.0
UserA,h16_wi01,Heat,0.0
UserA,h16_wi01,Cooling,0.0
UserA,h16_wi01,Cooking,0.0
UserA,h16_wi01,Natural Gas,0.0
UserA,h17_wi01,EE,0.0
UserA,h17_wi01,Hot water,0.0
UserA,h17_wi01,Heat,0.0
UserA,h17_wi01,Cooling,0.0
UserA,h17_wi01,Cooking,0.0
UserA,h17_wi01,Natural Gas,0.0
UserA,h18_wi01,EE,0.0
UserA,h18_wi01,Hot water,0.0
UserA,h18_wi01,Heat,0.0
UserA,h18_wi01,Cooling,0.0
UserA,h18_wi01,Cooking,0.0
UserA,h18_wi01,Natural Gas,0.0
UserA,h19_wi01,EE,0.0
UserA,h19_wi01,Hot water,0.0
UserA,h19_wi01,Heat,0.0
UserA,h19_wi01,Cooling,0.0
UserA,h19_wi01,Cooking,0.0
UserA,h19_wi01,Natural Gas,0.0
UserA,h20_wi01,EE,0.0
UserA,h20_wi01,Hot water,0.0
UserA,h20_wi01,Heat,0.0
UserA,h20_wi01,Cooling,0.0
UserA,h20_wi01,Cooking,0.0
UserA,h20_wi01,Natural Gas,0.0
UserA,h21_wi01,EE,0.0
UserA,h21_wi01,Hot water,0.0
UserA,h21_wi01,Heat,0.0
UserA,h21_wi01,Cooling,0.0
UserA,h21_wi01,Cooking,0.0
UserA,h21_wi01,Natural Gas,0.0
UserA,h22_wi01,EE,0.0
UserA,h22_wi01,Hot water,0.0
UserA,h22_wi01,Heat,0.0
UserA,h22_wi01,Cooling,0.0
UserA,h22_wi01,Cooking,0.0
UserA,h22_wi01,Natural Gas,0.0
UserA,h23_wi01,EE,0.0
UserA,h23_wi01,Hot water,0.0
UserA,h23_wi01,Heat,0.0
UserA,h23_wi01,Cooling,0.0
UserA,h23_wi01,Cooking,0.0
UserA,h23_wi01,Natural Gas,0.0
UserA,h24_wi01,EE,0.0
UserA,h24_wi01,Hot water,0.0
UserA,h24_wi01,Heat,0.0
UserA,h24_wi01,Cooling,0.0
UserA,h24_wi01,Cooking,0.0
UserA,h24_wi01,Natural Gas,0.0
UserA,h01_wi02,EE,0.0
UserA,h01_wi02,Hot water,0.0
UserA,h01_wi02,Heat,0.0
UserA,h01_wi02,Cooling,0.0
UserA,h01_wi02,Cooking,0.0
UserA,h01_wi02,Natural Gas,0.0
UserA,h02_wi02,EE,0.0
UserA,h02_wi02,Hot water,0.0
UserA,h02_wi02,Heat,0.0
UserA,h02_wi02,Cooling,0.0
UserA,h02_wi02,Cooking,0.0
UserA,h02_wi02,Natural Gas,0.0
UserA,h03_wi02,EE,0.0
UserA,h03_wi02,Hot water,0.0
UserA,h03_wi02,Heat,0.0
UserA,h03_wi02,Cooling,0.0
UserA,h03_wi02,Cooking,0.0
UserA,h03_wi02,Natural Gas,0.0
UserA,h04_wi02,EE,0.0
UserA,h04_wi02,Hot water,0.0
UserA,h04_wi02,Heat,0.0
UserA,h04_wi02,Cooling,0.0
UserA,h04_wi02,Cooking,0.0
UserA,h04_wi02,Natural Gas,0.0
UserA,h05_wi02,EE,0.0
UserA,h05_wi02,Hot water,0.0
UserA,h05_wi02,Heat,0.0
UserA,h05_wi02,Cooling,0.0
UserA,h05_wi02,Cooking,0.0
UserA,h05_wi02,Natural Gas,0.0
UserA,h06_wi02,EE,0.0
UserA,h06_wi02,Hot water,0.0
UserA,h06_wi02,Heat,0.0
UserA,h06_wi02,Cooling,0.0
UserA,h06_wi02,Cooking,0.0
UserA,h06_wi02,Natural Gas,0.0
UserA,h07_wi02,EE,0.0
UserA,h07_wi02,Hot water,0.0
UserA,h07_wi02,Heat,0.0
UserA,h07_wi02,Cooling,0.0
UserA,h07_wi02,Cooking,0.0
UserA,h07_wi02,Natural Gas,0.0
UserA,h08_wi02,EE,0.0
UserA,h08_wi02,Hot water,0.0
UserA,h08_wi02,Heat,0.0
UserA,h08_wi02,Cooling,0.0
UserA,h08_wi02,Cooking,0.0
UserA,h08_wi02,Natural Gas,0.0
UserA,h09_wi02,EE,0.0
UserA,h09_wi02,Hot water,0.0
UserA,h09_wi02,Heat,0.0
UserA,h09_wi02,Cooling,0.0
UserA,h09_wi02,Cooking,0.0
UserA,h09_wi02,Natural Gas,0.0
UserA,h10_wi02,EE,0.0
UserA,h10_wi02,Hot water,0.0
UserA,h10_wi02,Heat,0.0
UserA,h10_wi02,Cooling,0.0
UserA,h10_wi02,Cooking,0.0
UserA,h10_wi02,Natural Gas,0.0
UserA,h11_wi02,EE,0.0
UserA,h11_wi02,Hot water,0.0
UserA,h11_wi02,Heat,0.0
UserA,h11_wi02,Cooling,0.0
UserA,h11_wi02,Cooking,0.0
UserA,h11_wi02,Natural Gas,0.0
UserA,h12_wi02,EE,0.0
UserA,h12_wi02,Hot water,0.0
UserA,h12_wi02,Heat,0.0
UserA,h12_wi02,Cooling,0.0
UserA,h12_wi02,Cooking,0.0
UserA,h12_wi02,Natural Gas,0.0
UserA,h13_wi02,EE,0.0
UserA,h13_wi02,Hot water,0.0
UserA,h13_wi02,Heat,0.0
UserA,h13_wi02,Cooling,0.0
UserA,h13_wi02,Cooking,0.0
UserA,h13_wi02,Natural Gas,0.0
UserA,h14_wi02,EE,0.0
UserA,h14_wi02,Hot water,0.0
UserA,h14_wi02,Heat,0.0
UserA,h14_wi02,Cooling,0.0
UserA,h14_wi02,Cooking,0.0
UserA,h14_wi02,Natural Gas,0.0
UserA,h15_wi02,EE,0.0
UserA,h15_wi02,Hot water,0.0
UserA,h15_wi02,Heat,0.0
UserA,h15_wi02,Cooling,0.0
UserA,h15_wi02,Cooking,0.0
UserA,h15_wi02,Natural Gas,0.0
UserA,h16_wi02,EE,0.0
UserA,h16_wi02,Hot water,0.0
UserA,h16_wi02,Heat,0.0
UserA,h16_wi02,Cooling,0.0
UserA,h16_wi02,Cooking,0.0
UserA,h16_wi02,Natural Gas,0.0
UserA,h17_wi02,EE,0.0
UserA,h17_wi02,Hot water,0.0
UserA,h17_wi02,Heat,0.0
UserA,h17_wi02,Cooling,0.0
UserA,h17_wi02,Cooking,0.0
UserA,h17_wi02,Natural Gas,0.0
UserA,h18_wi02,EE,0.0
UserA,h18_wi02,Hot water,0.0
UserA,h18_wi02,Heat,0.0
UserA,h18_wi02,Cooling,0.0
UserA,h18_wi02,Cooking,0.0
UserA,h18_wi02,Natural Gas,0.0
UserA,h19_wi02,EE,0.0
UserA,h19_wi02,Hot water,0.0
UserA,h19_wi02,Heat,0.0
UserA,h19_wi02,Cooling,0.0
UserA,h19_wi02,Cooking,0.0
UserA,h19_wi02,Natural Gas,0.0
UserA,h20_wi02,EE,0.0
UserA,h20_wi02,Hot water,0.0
UserA,h20_wi02,Heat,0.0
UserA,h20_wi02,Cooling,0.0
UserA,h20_wi02,Cooking,0.0
UserA,h20_wi02,Natural Gas,0.0
UserA,h21_wi02,EE,0.0
UserA,h21_wi02,Hot water,0.0
UserA,h21_wi02,Heat,0.0
UserA,h21_wi02,Cooling,0.0
UserA,h21_wi02,Cooking,0.0
UserA,h21_wi02,Natural Gas,0.0
UserA,h22_wi02,EE,0.0
UserA,h22_wi02,Hot water,0.0
UserA,h22_wi02,Heat,0.0
UserA,h22_wi02,Cooling,0.0
UserA,h22_wi02,Cooking,0.0
UserA,h22_wi02,Natural Gas,0.0
UserA,h23_wi02,EE,0.0
UserA,h23_wi02,Hot water,0.0
UserA,h23_wi02,Heat,0.0
UserA,h23_wi02,Cooling,0.0
UserA,h23_wi02,Cooking,0.0
UserA,h23_wi02,Natural Gas,0.0
UserA,h24_wi02,EE,0.0
UserA,h24_wi02,Hot water,0.0
UserA,h24_wi02,Heat,0.0
UserA,h24_wi02,Cooling,0.0
UserA,h24_wi02,Cooking,0.0
UserA,h24_wi02,Natural Gas,0.0
UserA,h01_wi03,EE,0.0
UserA,h01_wi03,Hot water,0.0
UserA,h01_wi03,Heat,0.0
UserA,h01_wi03,Cooling,0.0
UserA,h01_wi03,Cooking,0.0
UserA,h01_wi03,Natural Gas,0.0
UserA,h02_wi03,EE,0.0
UserA,h02_wi03,Hot water,0.0
UserA,h02_wi03,Heat,0.0
UserA,h02_wi03,Cooling,0.0
UserA,h02_wi03,Cooking,0.0
UserA,h02_wi03,Natural Gas,0.0
UserA,h03_wi03,EE,0.0
UserA,h03_wi03,Hot water,0.0
UserA,h03_wi03,Heat,0.0
UserA,h03_wi03,Cooling,0.0
UserA,h03_wi03,Cooking,0.0
UserA,h03_wi03,Natural Gas,0.0
UserA,h04_wi03,EE,0.0
UserA,h04_wi03,Hot water,0.0
UserA,h04_wi03,Heat,0.0
UserA,h04_wi03,Cooling,0.0
UserA,h04_wi03,Cooking,0.0
UserA,h04_wi03,Natural Gas,0.0
UserA,h05_wi03,EE,0.0
UserA,h05_wi03,Hot water,0.0
UserA,h05_wi03,Heat,0.0
UserA,h05_wi03,Cooling,0.0
UserA,h05_wi03,Cooking,0.0
UserA,h05_wi03,Natural Gas,0.0
UserA,h06_wi03,EE,0.0
UserA,h06_wi03,Hot water,0.0
UserA,h06_wi03,Heat,0.0
UserA,h06_wi03,Cooling,0.0
UserA,h06_wi03,Cooking,0.0
UserA,h06_wi03,Natural Gas,0.0
UserA,h07_wi03,EE,0.0
UserA,h07_wi03,Hot water,0.0
UserA,h07_wi03,Heat,0.0
UserA,h07_wi03,Cooling,0.0
UserA,h07_wi03,Cooking,0.0
UserA,h07_wi03,Natural Gas,0.0
UserA,h08_wi03,EE,0.0
UserA,h08_wi03,Hot water,0.0
UserA,h08_wi03,Heat,0.0
UserA,h08_wi03,Cooling,0.0
UserA,h08_wi03,Cooking,0.0
UserA,h08_wi03,Natural Gas,0.0
UserA,h09_wi03,EE,0.0
UserA,h09_wi03,Hot water,0.0
UserA,h09_wi03,Heat,0.0
UserA,h09_wi03,Cooling,0.0
UserA,h09_wi03,Cooking,0.0
UserA,h09_wi03,Natural Gas,0.0
UserA,h10_wi03,EE,0.0
UserA,h10_wi03,Hot water,0.0
